[10:37:14.336] Namespace(root_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/train_npz_new', volume_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/test_vol_h5_new', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, encoder='pvt_v2_b2', expansion_factor=2, kernel_sizes=[1, 3, 5], lgag_ks=3, activation_mscb='relu6', no_dw_parallel=False, concatenation=False, no_pretrain=False, supervision='mutation', max_iterations=50000, max_epochs=300, batch_size=6, base_lr=0.0001, img_size=224, n_gpu=1, deterministic=1, seed=2222, dual=True, z_spacing=1, exp='run:2024-10-17 10_dual_pvt_v2_b2_EMCAD_kernel_sizes_[1, 3, 5]_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_Synapse224')
[10:37:14.336] ##########Disable test_save##########
[10:37:14.336] ##########Using dual supervision##########
[10:37:14.355] 369 iterations per epoch. 110700 max iterations 
[10:37:37.669] iteration 50, epoch 0 : loss : 23.222029, lr: 0.000100
[10:37:53.005] iteration 100, epoch 0 : loss : 24.020350, lr: 0.000100
[10:38:06.335] iteration 150, epoch 0 : loss : 24.685535, lr: 0.000100
[10:38:19.572] iteration 200, epoch 0 : loss : 19.518068, lr: 0.000100
[10:38:34.753] iteration 250, epoch 0 : loss : 23.608255, lr: 0.000100
[10:38:47.094] iteration 300, epoch 0 : loss : 23.481913, lr: 0.000100
[10:39:01.481] iteration 350, epoch 0 : loss : 23.092384, lr: 0.000100
[10:39:05.869] iteration 369, epoch 0 : loss : 22.351986, lr: 0.000100
[10:39:05.871] 12 test iterations per epoch
[10:43:03.045] Namespace(root_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/train_npz_new', volume_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/test_vol_h5_new', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, encoder='pvt_v2_b2', expansion_factor=2, kernel_sizes=[1, 3, 5], lgag_ks=3, activation_mscb='relu6', no_dw_parallel=False, concatenation=False, no_pretrain=False, supervision='mutation', max_iterations=50000, max_epochs=300, batch_size=6, base_lr=0.0001, img_size=224, n_gpu=1, deterministic=1, seed=2222, dual=True, z_spacing=1, exp='run:2024-10-17 10_dual_pvt_v2_b2_EMCAD_kernel_sizes_[1, 3, 5]_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_Synapse224')
[10:43:03.045] ##########Disable test_save##########
[10:43:03.045] ##########Using dual supervision##########
[10:43:03.059] 369 iterations per epoch. 110700 max iterations 
[10:43:27.512] iteration 50, epoch 0 : loss : 23.008522, lr: 0.000100
[10:43:43.906] iteration 100, epoch 0 : loss : 24.072870, lr: 0.000100
[10:43:58.310] iteration 150, epoch 0 : loss : 24.635618, lr: 0.000100
[10:44:12.369] iteration 200, epoch 0 : loss : 19.719339, lr: 0.000100
[10:44:28.309] iteration 250, epoch 0 : loss : 23.294039, lr: 0.000100
[10:44:41.716] iteration 300, epoch 0 : loss : 23.007826, lr: 0.000100
[10:44:56.490] iteration 350, epoch 0 : loss : 22.977272, lr: 0.000100
[10:45:01.311] iteration 369, epoch 0 : loss : 21.911751, lr: 0.000100
[10:45:12.380] iteration 400, epoch 1 : loss : 21.503517, lr: 0.000100
[10:45:26.764] iteration 450, epoch 1 : loss : 18.004538, lr: 0.000100
[10:45:41.665] iteration 500, epoch 1 : loss : 16.995689, lr: 0.000100
[10:45:56.457] iteration 550, epoch 1 : loss : 20.616318, lr: 0.000100
[10:46:11.783] iteration 600, epoch 1 : loss : 19.874195, lr: 0.000100
[10:46:26.168] iteration 650, epoch 1 : loss : 16.559021, lr: 0.000100
[10:46:41.409] iteration 700, epoch 1 : loss : 18.087818, lr: 0.000100
[10:46:50.994] iteration 738, epoch 1 : loss : 18.728540, lr: 0.000100
[10:46:56.087] iteration 750, epoch 2 : loss : 18.175133, lr: 0.000100
[10:47:10.980] iteration 800, epoch 2 : loss : 15.524481, lr: 0.000100
[10:47:25.580] iteration 850, epoch 2 : loss : 19.342138, lr: 0.000100
[10:47:41.781] iteration 900, epoch 2 : loss : 17.274393, lr: 0.000100
[10:47:55.611] iteration 950, epoch 2 : loss : 19.281624, lr: 0.000100
[10:48:10.520] iteration 1000, epoch 2 : loss : 16.432512, lr: 0.000100
[10:48:25.566] iteration 1050, epoch 2 : loss : 15.422704, lr: 0.000100
[10:48:40.081] iteration 1100, epoch 2 : loss : 18.018932, lr: 0.000100
[10:48:41.959] iteration 1107, epoch 2 : loss : 20.048876, lr: 0.000100
[10:48:56.315] iteration 1150, epoch 3 : loss : 22.509819, lr: 0.000100
[10:49:11.165] iteration 1200, epoch 3 : loss : 15.884651, lr: 0.000100
[10:49:26.804] iteration 1250, epoch 3 : loss : 14.021413, lr: 0.000100
[10:49:41.285] iteration 1300, epoch 3 : loss : 16.696039, lr: 0.000100
[10:49:56.374] iteration 1350, epoch 3 : loss : 16.783318, lr: 0.000100
[10:50:09.922] iteration 1400, epoch 3 : loss : 15.814137, lr: 0.000100
