[13:26:54.068] Namespace(strings=[], root_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/train_npz_new', volume_path='/defaultShare/archive/zhuzixuan/cascade_dataset/synapse/test_vol_h5_new', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=12, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run:2024-10-18 13_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[13:26:54.069] ##########Disable test_save##########
[13:26:54.069] ##########Using dual supervision##########
[13:26:54.075] 185 iterations per epoch. 55500 max iterations 
[13:27:29.707] iteration 50, epoch 0 : loss : 7.136165, lr: 0.000100
[13:27:59.721] iteration 100, epoch 0 : loss : 5.896699, lr: 0.000100
[13:28:29.709] iteration 150, epoch 0 : loss : 3.534198, lr: 0.000100
[13:28:50.934] iteration 185, epoch 0 : loss : 5.934399, lr: 0.000100
[13:29:02.857] iteration 200, epoch 1 : loss : 4.076421, lr: 0.000100
[13:29:32.810] iteration 250, epoch 1 : loss : 3.841967, lr: 0.000100
[13:30:02.813] iteration 300, epoch 1 : loss : 3.555512, lr: 0.000100
[13:30:32.814] iteration 350, epoch 1 : loss : 3.746205, lr: 0.000100
[13:30:44.785] iteration 370, epoch 1 : loss : 4.677067, lr: 0.000100
[13:31:05.516] iteration 400, epoch 2 : loss : 3.327810, lr: 0.000100
[13:31:35.514] iteration 450, epoch 2 : loss : 3.131030, lr: 0.000100
[13:32:05.512] iteration 500, epoch 2 : loss : 4.212848, lr: 0.000100
[13:32:35.516] iteration 550, epoch 2 : loss : 4.577109, lr: 0.000100
[13:32:38.503] iteration 555, epoch 2 : loss : 6.755171, lr: 0.000100
[13:33:08.411] iteration 600, epoch 3 : loss : 3.008018, lr: 0.000100
[13:33:38.415] iteration 650, epoch 3 : loss : 2.824101, lr: 0.000100
[13:34:08.416] iteration 700, epoch 3 : loss : 3.186686, lr: 0.000100
[13:34:32.404] iteration 740, epoch 3 : loss : 4.170986, lr: 0.000100
[13:34:41.227] iteration 750, epoch 4 : loss : 3.066102, lr: 0.000100
[13:35:11.213] iteration 800, epoch 4 : loss : 1.853310, lr: 0.000100
[13:35:41.215] iteration 850, epoch 4 : loss : 2.322889, lr: 0.000100
[13:36:11.252] iteration 900, epoch 4 : loss : 2.391016, lr: 0.000100
[13:36:26.336] iteration 925, epoch 4 : loss : 3.639375, lr: 0.000100
[13:36:45.513] iteration 950, epoch 5 : loss : 2.631683, lr: 0.000100
[13:37:15.511] iteration 1000, epoch 5 : loss : 1.709556, lr: 0.000100
[13:37:45.514] iteration 1050, epoch 5 : loss : 1.762905, lr: 0.000100
[13:38:15.515] iteration 1100, epoch 5 : loss : 1.884039, lr: 0.000100
[13:38:21.487] iteration 1110, epoch 5 : loss : 1.964639, lr: 0.000100
[13:38:48.417] iteration 1150, epoch 6 : loss : 1.197226, lr: 0.000100
[13:39:18.413] iteration 1200, epoch 6 : loss : 1.530172, lr: 0.000100
[13:39:48.420] iteration 1250, epoch 6 : loss : 1.683069, lr: 0.000100
[13:40:15.429] iteration 1295, epoch 6 : loss : 1.629579, lr: 0.000100
[13:40:21.515] iteration 1300, epoch 7 : loss : 3.252191, lr: 0.000100
[13:40:51.518] iteration 1350, epoch 7 : loss : 3.787079, lr: 0.000100
[13:41:21.511] iteration 1400, epoch 7 : loss : 1.658909, lr: 0.000100
[13:41:51.506] iteration 1450, epoch 7 : loss : 1.282388, lr: 0.000100
[13:42:09.493] iteration 1480, epoch 7 : loss : 1.485789, lr: 0.000100
[13:42:24.314] iteration 1500, epoch 8 : loss : 1.552730, lr: 0.000100
[13:42:54.310] iteration 1550, epoch 8 : loss : 1.864990, lr: 0.000100
[13:43:24.310] iteration 1600, epoch 8 : loss : 1.891720, lr: 0.000100
[13:43:54.355] iteration 1650, epoch 8 : loss : 1.669445, lr: 0.000100
[13:44:03.356] iteration 1665, epoch 8 : loss : 4.729813, lr: 0.000100
[13:44:27.425] iteration 1700, epoch 9 : loss : 2.234018, lr: 0.000100
[13:44:57.413] iteration 1750, epoch 9 : loss : 1.465157, lr: 0.000100
[13:45:27.414] iteration 1800, epoch 9 : loss : 1.463050, lr: 0.000100
[13:45:57.265] iteration 1850, epoch 9 : loss : 2.219762, lr: 0.000100
[13:45:57.507] iteration 1850, epoch 9 : loss : 2.219762, lr: 0.000100
[13:46:30.712] iteration 1900, epoch 10 : loss : 1.389993, lr: 0.000100
[13:47:00.711] iteration 1950, epoch 10 : loss : 1.947593, lr: 0.000100
[13:47:30.713] iteration 2000, epoch 10 : loss : 1.274009, lr: 0.000100
[13:47:51.671] iteration 2035, epoch 10 : loss : 2.489022, lr: 0.000100
[13:48:03.418] iteration 2050, epoch 11 : loss : 2.285417, lr: 0.000100
[13:48:33.412] iteration 2100, epoch 11 : loss : 2.585751, lr: 0.000100
[13:49:03.416] iteration 2150, epoch 11 : loss : 1.588185, lr: 0.000100
[13:49:33.453] iteration 2200, epoch 11 : loss : 1.714424, lr: 0.000100
[13:49:45.352] iteration 2220, epoch 11 : loss : 1.514006, lr: 0.000100
[13:50:06.018] iteration 2250, epoch 12 : loss : 2.513612, lr: 0.000100
[13:50:36.015] iteration 2300, epoch 12 : loss : 1.425843, lr: 0.000100
[13:51:05.916] iteration 2350, epoch 12 : loss : 1.952652, lr: 0.000100
[13:51:35.911] iteration 2400, epoch 12 : loss : 1.551982, lr: 0.000100
[13:51:38.897] iteration 2405, epoch 12 : loss : 2.368331, lr: 0.000100
[13:52:08.213] iteration 2450, epoch 13 : loss : 1.481010, lr: 0.000100
[13:52:38.214] iteration 2500, epoch 13 : loss : 1.311422, lr: 0.000100
[13:53:08.212] iteration 2550, epoch 13 : loss : 1.231730, lr: 0.000100
[13:53:32.370] iteration 2590, epoch 13 : loss : 1.548845, lr: 0.000100
[13:53:42.151] iteration 2600, epoch 14 : loss : 1.382908, lr: 0.000100
[13:54:12.410] iteration 2650, epoch 14 : loss : 1.567572, lr: 0.000100
[13:54:42.415] iteration 2700, epoch 14 : loss : 1.844671, lr: 0.000100
[13:55:12.313] iteration 2750, epoch 14 : loss : 1.471657, lr: 0.000100
[13:55:27.248] iteration 2775, epoch 14 : loss : 2.500688, lr: 0.000100
[13:55:45.316] iteration 2800, epoch 15 : loss : 1.598970, lr: 0.000100
[13:56:15.316] iteration 2850, epoch 15 : loss : 0.856193, lr: 0.000100
[13:56:45.314] iteration 2900, epoch 15 : loss : 1.587009, lr: 0.000100
[13:57:15.310] iteration 2950, epoch 15 : loss : 1.245871, lr: 0.000100
[13:57:21.375] iteration 2960, epoch 15 : loss : 1.599790, lr: 0.000100
[13:57:48.614] iteration 3000, epoch 16 : loss : 1.635842, lr: 0.000100
[13:58:18.613] iteration 3050, epoch 16 : loss : 2.203589, lr: 0.000100
[13:58:48.611] iteration 3100, epoch 16 : loss : 1.294641, lr: 0.000100
[13:59:15.690] iteration 3145, epoch 16 : loss : 1.686884, lr: 0.000100
[13:59:21.714] iteration 3150, epoch 17 : loss : 1.099908, lr: 0.000100
[13:59:51.710] iteration 3200, epoch 17 : loss : 1.774183, lr: 0.000100
[14:00:21.714] iteration 3250, epoch 17 : loss : 1.242482, lr: 0.000100
[14:00:51.716] iteration 3300, epoch 17 : loss : 1.166025, lr: 0.000100
[14:01:09.733] iteration 3330, epoch 17 : loss : 1.758465, lr: 0.000100
[14:01:24.511] iteration 3350, epoch 18 : loss : 1.337044, lr: 0.000100
[14:01:54.513] iteration 3400, epoch 18 : loss : 1.490135, lr: 0.000100
[14:02:24.510] iteration 3450, epoch 18 : loss : 1.628576, lr: 0.000100
[14:02:54.512] iteration 3500, epoch 18 : loss : 1.309413, lr: 0.000100
[14:03:03.568] iteration 3515, epoch 18 : loss : 1.587361, lr: 0.000100
[14:03:27.617] iteration 3550, epoch 19 : loss : 1.098284, lr: 0.000100
[14:03:57.615] iteration 3600, epoch 19 : loss : 2.029846, lr: 0.000100
[14:04:27.612] iteration 3650, epoch 19 : loss : 1.090675, lr: 0.000100
[14:04:57.358] iteration 3700, epoch 19 : loss : 1.177928, lr: 0.000100
[14:04:57.633] iteration 3700, epoch 19 : loss : 1.177928, lr: 0.000100
[14:05:30.710] iteration 3750, epoch 20 : loss : 1.245278, lr: 0.000100
[14:06:00.717] iteration 3800, epoch 20 : loss : 3.283502, lr: 0.000100
[14:06:30.717] iteration 3850, epoch 20 : loss : 1.342886, lr: 0.000100
[14:06:51.696] iteration 3885, epoch 20 : loss : 1.286947, lr: 0.000100
[14:07:02.612] iteration 3900, epoch 21 : loss : 1.503875, lr: 0.000100
[14:07:32.630] iteration 3950, epoch 21 : loss : 1.388924, lr: 0.000100
[14:08:02.613] iteration 4000, epoch 21 : loss : 1.908380, lr: 0.000100
[14:08:32.641] iteration 4050, epoch 21 : loss : 1.505004, lr: 0.000100
[14:08:44.833] iteration 4070, epoch 21 : loss : 1.724367, lr: 0.000100
[14:09:06.814] iteration 4100, epoch 22 : loss : 1.560998, lr: 0.000100
[14:09:36.817] iteration 4150, epoch 22 : loss : 2.513731, lr: 0.000100
[14:10:06.817] iteration 4200, epoch 22 : loss : 1.599364, lr: 0.000100
[14:10:36.812] iteration 4250, epoch 22 : loss : 1.270425, lr: 0.000100
[14:10:39.800] iteration 4255, epoch 22 : loss : 1.367126, lr: 0.000100
[14:11:09.617] iteration 4300, epoch 23 : loss : 1.260848, lr: 0.000100
[14:11:39.613] iteration 4350, epoch 23 : loss : 1.301513, lr: 0.000100
[14:12:09.615] iteration 4400, epoch 23 : loss : 1.286484, lr: 0.000100
[14:12:33.842] iteration 4440, epoch 23 : loss : 2.692906, lr: 0.000100
